s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.2972286E+001, 1.2499938E+001,-4.3800892E+000,-7.1921657E+000,-1.0030652E+000,-1.8208978E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2807282E-002,-2.5747142E-001, 6.6595631E-004, 6.6595631E-004
 2.3065523E+001, 1.2499973E+001,-4.3785024E+000,-7.1974361E+000,-9.9897735E-001,-1.8207439E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5983707E-002,-2.5701677E-001, 6.6595631E-004, 6.6595631E-004
 2.3251997E+001, 1.2500046E+001,-4.3787605E+000,-7.2001681E+000,-9.9769421E-001,-1.8205374E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4873185E-002,-2.5863042E-001, 6.6595631E-004, 6.6595631E-004
 2.3345234E+001, 1.2500131E+001,-4.3799325E+000,-7.2040618E+000,-9.9185514E-001,-1.8203772E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5621808E-002,-2.5775577E-001, 6.6595631E-004, 6.6595631E-004
 2.3438471E+001, 1.2500201E+001,-4.3800345E+000,-7.2037859E+000,-9.9463414E-001,-1.8203154E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4026369E-002,-2.6028526E-001, 6.6595631E-004, 6.6595631E-004
 2.3531708E+001, 1.2500270E+001,-4.3794799E+000,-7.2063583E+000,-9.9286802E-001,-1.8202916E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6549230E-002,-2.6046549E-001, 6.6595631E-004, 6.6595631E-004
 2.3718182E+001, 1.2500337E+001,-4.3834025E+000,-7.2001164E+000,-9.9931497E-001,-1.8203287E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8659072E-002,-2.6452982E-001, 6.6595631E-004, 6.6595631E-004
 2.3811419E+001, 1.2500416E+001,-4.3826202E+000,-7.2034399E+000,-9.9608822E-001,-1.8204362E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4106547E-002,-2.6377621E-001, 6.6595631E-004, 6.6595631E-004
 2.3904655E+001, 1.2500449E+001,-4.3831376E+000,-7.2031735E+000,-9.9578407E-001,-1.8205490E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5720633E-002,-2.6370104E-001, 6.6595631E-004, 6.6595631E-004
 2.4091129E+001, 1.2500449E+001,-4.3825377E+000,-7.2058082E+000,-9.9269640E-001,-1.8207429E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3210773E-002,-2.6266767E-001, 6.6595631E-004, 6.6595631E-004
 2.4184366E+001, 1.2500403E+001,-4.3794918E+000,-7.2063844E+000,-9.9797461E-001,-1.8209248E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6788396E-002,-2.6554005E-001, 6.6595631E-004, 6.6595631E-004
 2.4277603E+001, 1.2500360E+001,-4.3822711E+000,-7.1985555E+000,-1.0071511E+000,-1.8210293E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8607224E-002,-2.6972059E-001, 6.6595631E-004, 6.6595631E-004
 2.4370840E+001, 1.2500271E+001,-4.3794777E+000,-7.2016498E+000,-1.0054987E+000,-1.8211204E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6619211E-002,-2.6846739E-001, 6.6595631E-004, 6.6595631E-004
