s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 9.9032791E+001, 1.2535772E+001,-3.7708302E+000,-6.0208281E+000,-2.9643675E+000, 3.0991289E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0323227E-001,-2.1715439E-001, 6.6595631E-004, 6.6595631E-004
 9.9182243E+001, 1.2518699E+001,-3.1620590E+000,-5.9859769E+000,-2.9662237E+000, 3.0981032E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1150454E-001, 4.0753730E-001, 6.6595631E-004, 6.6595631E-004
 9.9346634E+001, 1.2147821E+001,-3.1939483E+000,-5.9694843E+000,-2.9669438E+000, 3.0969918E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1190717E-001, 2.0541597E-002, 6.6595631E-004, 6.6595631E-004
 9.9511032E+001, 1.2330183E+001,-3.1680178E+000,-5.9486412E+000,-2.9699593E+000, 3.0959902E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3254690E-002, 2.4666076E-001, 6.6595631E-004, 6.6595631E-004
 9.9675423E+001, 1.2418238E+001,-3.1706763E+000,-5.9351204E+000,-2.9684960E+000, 3.0951321E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4968686E-001, 3.4704085E-001, 6.6595631E-004, 6.6595631E-004
 9.9839821E+001, 1.2460899E+001,-3.1704594E+000,-5.9265214E+000,-2.9668697E+000, 3.0945688E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4610075E-001, 4.0014346E-001, 6.6595631E-004, 6.6595631E-004
 1.0000421E+002, 1.2481666E+001,-3.4243251E+000,-5.9282074E+000,-2.9750774E+000, 3.0943181E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9819397E-001, 1.5715069E-001, 6.6595631E-004, 6.6595631E-004
 1.0016861E+002, 1.2492049E+001,-3.3982592E+000,-5.9285315E+000,-2.9730340E+000, 3.0943018E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6355247E-001, 1.9531820E-001, 6.6595631E-004, 6.6595631E-004
 1.0033301E+002, 1.2497364E+001,-3.3311155E+000,-5.9319935E+000,-2.9620625E+000, 3.0945038E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9841160E-001, 2.7528722E-001, 6.6595631E-004, 6.6595631E-004
 1.0049740E+002, 1.2500072E+001,-3.2370471E+000,-5.9390465E+000,-2.9708123E+000, 3.0947159E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6975402E-001, 3.5626122E-001, 6.6595631E-004, 6.6595631E-004
 1.0066180E+002, 1.2501409E+001,-3.6415838E+000,-5.9563553E+000,-2.9681625E+000, 3.0948829E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5866946E-001,-6.1597249E-002, 6.6595631E-004, 6.6595631E-004
 1.0082619E+002, 1.2502012E+001,-3.3866414E+000,-5.9636624E+000,-2.9624871E+000, 3.0950436E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4152570E-002, 1.9231645E-001, 6.6595631E-004, 6.6595631E-004
 1.0099059E+002, 1.2501965E+001,-3.3992120E+000,-5.9758001E+000,-2.9735555E+000, 3.0952296E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8431727E-001, 1.5649294E-001, 6.6595631E-004, 6.6595631E-004
 1.0115498E+002, 1.2501660E+001,-3.3931670E+000,-5.9863544E+000,-2.9636655E+000, 3.0954828E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5530444E-001, 1.6156914E-001, 6.6595631E-004, 6.6595631E-004
 1.0131937E+002, 1.2501214E+001,-3.3721498E+000,-5.9959321E+000,-2.9785536E+000, 3.0958761E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5165698E-001, 1.5767480E-001, 6.6595631E-004, 6.6595631E-004
 1.0148377E+002, 1.2500599E+001,-3.3324861E+000,-6.0025721E+000,-2.9779997E+000, 3.0964277E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6025231E-001, 1.9063717E-001, 6.6595631E-004, 6.6595631E-004
 1.0164816E+002, 1.2499804E+001,-3.2671189E+000,-6.0068673E+000,-2.9777566E+000, 3.0971017E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8957037E-001, 2.5115813E-001, 6.6595631E-004, 6.6595631E-004
 1.0181256E+002, 1.2498808E+001,-3.1839145E+000,-6.0075929E+000,-2.9665692E+000, 3.0978178E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5005507E-001, 3.4382899E-001, 6.6595631E-004, 6.6595631E-004
 1.0197695E+002, 1.2513888E+001,-3.7097485E+000,-6.0162217E+000,-2.9780686E+000, 3.0985118E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3662836E-001,-1.8705203E-001, 6.6595631E-004, 6.6595631E-004
 1.0215779E+002, 1.2160868E+001,-3.6129343E+000,-6.0164716E+000,-2.9742207E+000, 3.0993412E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8037283E-001,-4.3965909E-001, 6.6595631E-004, 6.6595631E-004
 1.0233862E+002, 1.2322253E+001,-2.9245781E+000,-5.9940130E+000,-2.9758594E+000, 3.1001500E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3543195E-001, 4.3090277E-001, 6.6595631E-004, 6.6595631E-004
 1.0251945E+002, 1.2377054E+001,-2.9258938E+000,-5.9804274E+000,-2.9679506E+000, 3.1012227E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4013999E-001, 5.0588311E-001, 6.6595631E-004, 6.6595631E-004
 1.0270029E+002, 1.2441970E+001,-2.9575791E+000,-5.9636082E+000,-2.9790844E+000, 3.1028352E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0938237E-001, 5.4480070E-001, 6.6595631E-004, 6.6595631E-004
 1.0288113E+002, 1.2471253E+001,-3.0149714E+000,-5.9411888E+000,-2.9837652E+000, 3.1046543E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5747246E-001, 5.3443209E-001, 6.6595631E-004, 6.6595631E-004
 1.0303937E+002, 1.3042573E+001,-3.0796601E+000,-5.9094641E+000,-2.9885361E+000, 3.1062034E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4710532E-001, 1.0680194E+000, 6.6595631E-004, 6.6595631E-004
 1.0319761E+002, 1.2768099E+001,-3.2004649E+000,-5.8889713E+000,-2.9949717E+000, 3.1076925E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0815753E+000, 6.8679902E-001, 6.6595631E-004, 6.6595631E-004
 1.0335585E+002, 1.2632003E+001,-3.2833518E+000,-5.8634036E+000,-2.9990332E+000, 3.1090061E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0289156E-001, 4.8932322E-001, 6.6595631E-004, 6.6595631E-004
 1.0349628E+002, 1.3021970E+001,-3.3435822E+000,-5.8294456E+000,-3.0015091E+000, 3.1097419E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0469077E-001, 8.5054238E-001, 6.6595631E-004, 6.6595631E-004
 1.0363671E+002, 1.2780053E+001,-3.4350402E+000,-5.8050282E+000,-3.0057420E+000, 3.1104951E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6558690E-001, 5.3735320E-001, 6.6595631E-004, 6.6595631E-004
 1.0377714E+002, 1.2650329E+001,-3.4853462E+000,-5.7777943E+000,-3.0088694E+000, 3.1112079E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5346239E-001, 3.8143015E-001, 6.6595631E-004, 6.6595631E-004
 1.0391757E+002, 1.2581070E+001,-3.5086024E+000,-5.7488616E+000,-3.0113753E+000, 3.1118437E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9770372E-001, 3.1534302E-001, 6.6595631E-004, 6.6595631E-004
 1.0405800E+002, 1.2544238E+001,-3.5192401E+000,-5.7201398E+000,-3.0183988E+000, 3.1123746E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3105433E-001, 2.8957152E-001, 6.6595631E-004, 6.6595631E-004
 1.0419843E+002, 1.2524333E+001,-3.2054803E+000,-5.6869432E+000,-3.0192709E+000, 3.1127686E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0932562E-001, 6.1575161E-001, 6.6595631E-004, 6.6595631E-004
 1.0433886E+002, 1.2513633E+001,-3.2074824E+000,-5.6616854E+000,-3.0194595E+000, 3.1130120E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3413373E-001, 6.2811854E-001, 6.6595631E-004, 6.6595631E-004
 1.0447929E+002, 1.2507951E+001,-3.2069054E+000,-5.6408900E+000,-3.0185361E+000, 3.1130374E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4483233E-001, 6.4473268E-001, 6.6595631E-004, 6.6595631E-004
 1.0461972E+002, 1.2504775E+001,-3.2050291E+000,-5.6267086E+000,-3.0156232E+000, 3.1128961E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5864728E-001, 6.6052667E-001, 6.6595631E-004, 6.6595631E-004
 1.0476015E+002, 1.2502994E+001,-3.1981030E+000,-5.6191731E+000,-3.0112623E+000, 3.1125403E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7193536E-001, 6.7756768E-001, 6.6595631E-004, 6.6595631E-004
 1.0490057E+002, 1.2501956E+001,-3.2001956E+000,-5.6192593E+000,-3.0058185E+000, 3.1120555E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8503047E-001, 6.7979452E-001, 6.6595631E-004, 6.6595631E-004
 1.0505505E+002, 1.2159339E+001,-3.2090818E+000,-5.6334333E+000,-2.9983914E+000, 3.1114334E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8553961E-001, 3.2154358E-001, 6.6595631E-004, 6.6595631E-004
 1.0520953E+002, 1.2328427E+001,-3.1805577E+000,-5.6464656E+000,-2.9886977E+000, 3.1107105E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2302100E-001, 5.1581632E-001, 6.6595631E-004, 6.6595631E-004
 1.0536400E+002, 1.2413696E+001,-3.1825340E+000,-5.6692185E+000,-2.9792695E+000, 3.1100926E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1423604E-001, 5.8578366E-001, 6.6595631E-004, 6.6595631E-004
 1.0553391E+002, 1.2090883E+001,-3.1958798E+000,-5.7101096E+000,-2.9693890E+000, 3.1098079E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7876861E-001, 2.1861390E-001, 6.6595631E-004, 6.6595631E-004
 1.0570383E+002, 1.2307417E+001,-3.1662797E+000,-5.7485676E+000,-2.9579278E+000, 3.1098139E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0900639E-001, 4.3775118E-001, 6.6595631E-004, 6.6595631E-004
 1.0587376E+002, 1.2409352E+001,-3.1667791E+000,-5.7960947E+000,-2.9485052E+000, 3.1102650E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2251774E-001, 5.0108329E-001, 6.6595631E-004, 6.6595631E-004
 1.0604368E+002, 1.2457368E+001,-3.1676520E+000,-5.8498217E+000,-2.9408725E+000, 3.1109659E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8282380E-001, 5.0213306E-001, 6.6595631E-004, 6.6595631E-004
 1.0621360E+002, 1.2479995E+001,-3.1517521E+000,-5.9076099E+000,-2.9347786E+000, 3.1117143E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8045100E-001, 4.8896619E-001, 6.6595631E-004, 6.6595631E-004
