s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 7.3968520E+000, 1.2499189E+001,-3.5959226E+000,-3.2991353E-001,-4.7656014E-001, 2.5384246E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1010683E+000, 8.0993314E+000, 6.5707705E-004, 6.5707705E-004
 7.5339923E+000, 1.2499510E+001,-3.5970928E+000,-3.1491530E-001,-4.8554099E-001, 2.5436014E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1020269E+000, 8.1045046E+000, 6.5707717E-004, 6.5707717E-004
 7.6711326E+000, 1.2499684E+001,-3.5912904E+000,-2.9946496E-001,-4.9508186E-001, 2.5474786E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1075970E+000, 8.1163939E+000, 6.5707726E-004, 6.5707726E-004
 7.8082728E+000, 1.2499768E+001,-3.5864443E+000,-2.8485653E-001,-5.0511460E-001, 2.5503402E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1181972E+000, 8.1259027E+000, 6.5707733E-004, 6.5707733E-004
 7.9454131E+000, 1.2499807E+001,-4.8173275E+000,-2.9229414E-001,-5.1551119E-001, 2.5524403E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1272628E+000, 6.8772268E+000, 6.5707738E-004, 6.5707738E-004
 8.0825539E+000, 1.2499949E+001,-4.1307803E+000,-2.6906495E-001,-5.2471379E-001, 2.5541523E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8782553E+000, 7.5779443E+000, 6.5707742E-004, 6.5707742E-004
 8.2196941E+000, 1.2499599E+001,-3.9660203E+000,-2.5593342E-001,-5.3521106E-001, 2.5546978E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5778875E+000, 7.7449890E+000, 6.5707745E-004, 6.5707745E-004
 8.3568344E+000, 1.2499674E+001,-3.9112993E+000,-2.4553337E-001,-5.4536632E-001, 2.5552890E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7447439E+000, 7.8000304E+000, 6.5707748E-004, 6.5707748E-004
 8.4939747E+000, 1.2499834E+001,-3.8501322E+000,-2.3637448E-001,-5.5502096E-001, 2.5559784E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8000482E+000, 7.8608627E+000, 6.5707749E-004, 6.5707749E-004
 8.6311150E+000, 1.2499947E+001,-3.8048025E+000,-2.2805878E-001,-5.6501426E-001, 2.5566097E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8586361E+000, 7.9046278E+000, 6.5707751E-004, 6.5707751E-004
 8.7682552E+000, 1.2500048E+001,-3.7618856E+000,-2.2054494E-001,-5.7721685E-001, 2.5571195E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9031334E+000, 7.9429580E+000, 6.5707752E-004, 6.5707752E-004
 8.9053946E+000, 1.2500026E+001,-3.6955767E+000,-2.1239573E-001,-5.8528193E-001, 2.5574948E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9439519E+000, 8.0093288E+000, 6.5707752E-004, 6.5707752E-004
 9.0425348E+000, 1.2499983E+001,-3.6226682E+000,-2.0494191E-001,-5.9237714E-001, 2.5577330E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0103190E+000, 8.0825540E+000, 6.5707753E-004, 6.5707753E-004
 9.1796751E+000, 1.2499917E+001,-3.5505132E+000,-2.0138481E-001,-5.9756133E-001, 2.5578301E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0819587E+000, 8.1530154E+000, 6.5707753E-004, 6.5707753E-004
 9.3168154E+000, 1.2499803E+001,-3.4819563E+000,-2.0316856E-001,-6.0430240E-001, 2.5578001E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1487416E+000, 8.2129335E+000, 6.5707754E-004, 6.5707754E-004
 9.4539557E+000, 1.2499570E+001,-3.7898029E+000,-2.2250516E-001,-6.1103510E-001, 2.5576632E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2042829E+000, 7.8787850E+000, 6.5707754E-004, 6.5707754E-004
 9.5910959E+000, 1.2499749E+001,-3.6766155E+000,-2.4749243E-001,-6.1595797E-001, 2.5574673E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8630905E+000, 7.9622410E+000, 6.5707754E-004, 6.5707754E-004
 9.7282362E+000, 1.2498089E+001,-3.6107920E+000,-2.8787464E-001,-6.2150894E-001, 2.5571965E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9391686E+000, 7.9804708E+000, 6.5707754E-004, 6.5707754E-004
 9.8653765E+000, 1.2496894E+001,-3.5660934E+000,-3.4505990E-001,-6.2737941E-001, 2.5568725E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9491742E+000, 7.9609179E+000, 6.5707754E-004, 6.5707754E-004
 1.0002517E+001, 1.2495842E+001,-3.5390300E+000,-4.0911089E-001,-6.3393592E-001, 2.5564969E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9243428E+000, 7.9163219E+000, 6.5707755E-004, 6.5707755E-004
 1.0139657E+001, 1.2494588E+001,-3.5304882E+000,-4.7194286E-001,-6.4145295E-001, 2.5560418E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8774367E+000, 7.8532601E+000, 6.5707755E-004, 6.5707755E-004
 1.0276797E+001, 1.2493302E+001,-3.5138036E+000,-5.2587146E-001,-6.4930870E-001, 2.5554969E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8170871E+000, 7.8068733E+000, 6.5707755E-004, 6.5707755E-004
 1.0413938E+001, 1.2492326E+001,-3.5085530E+000,-5.7078562E-001,-6.5750325E-001, 2.5548357E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7752083E+000, 7.7580392E+000, 6.5707755E-004, 6.5707755E-004
 1.0551078E+001, 1.2492095E+001,-3.5338627E+000,-6.0753450E-001,-6.6616727E-001, 2.5540348E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7303201E+000, 7.6870846E+000, 6.5707755E-004, 6.5707755E-004
 1.0688218E+001, 1.2492790E+001,-3.5696117E+000,-6.3856729E-001,-6.7385288E-001, 2.5531133E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6640190E+000, 7.6133112E+000, 6.5707755E-004, 6.5707755E-004
