s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.1332357E+002, 1.2717031E+001,-4.7608640E+000,-5.5785501E+000,-2.2398401E+000,-1.4887337E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6490029E-003,-1.1096588E-002, 6.5707755E-004, 6.5707755E-004
 1.1347984E+002, 1.2608475E+001,-4.7156892E+000,-5.5124917E+000,-2.2457281E+000,-1.4895042E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0362421E-003,-1.4384661E-002, 6.5707755E-004, 6.5707755E-004
 1.1363612E+002, 1.2554244E+001,-4.6983392E+000,-5.4718604E+000,-2.2561584E+000,-1.4904617E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5115979E-003,-2.1160176E-002, 6.5707755E-004, 6.5707755E-004
 1.1379240E+002, 1.2527019E+001,-4.6953172E+000,-5.4539402E+000,-2.2445324E+000,-1.4914310E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1934846E-003,-1.5913638E-002, 6.5707755E-004, 6.5707755E-004
 1.1394868E+002, 1.2513331E+001,-4.6949672E+000,-5.4437875E+000,-2.2406249E+000,-1.4923538E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9083046E-003,-1.5283653E-002, 6.5707755E-004, 6.5707755E-004
 1.1410496E+002, 1.2506470E+001,-4.6923654E+000,-5.4421834E+000,-2.2382430E+000,-1.4931955E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6298493E-003,-1.5641317E-002, 6.5707755E-004, 6.5707755E-004
 1.1426124E+002, 1.2503036E+001,-4.6956813E+000,-5.4387231E+000,-2.2346500E+000,-1.4939600E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0158838E-002,-1.5414537E-002, 6.5707755E-004, 6.5707755E-004
 1.1441751E+002, 1.2501279E+001,-4.6975905E+000,-5.4325550E+000,-2.2428262E+000,-1.4946421E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6086014E-002,-2.1156712E-002, 6.5707755E-004, 6.5707755E-004
 1.1457379E+002, 1.2500375E+001,-4.6911553E+000,-5.4454649E+000,-2.2297612E+000,-1.4952439E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0703515E-004,-1.5530492E-002, 6.5707755E-004, 6.5707755E-004
 1.1473007E+002, 1.2499939E+001,-4.6953656E+000,-5.4431271E+000,-2.2273088E+000,-1.4957783E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0320177E-003,-1.5439976E-002, 6.5707755E-004, 6.5707755E-004
